id,0-mean,0-std,1-mean,1-std,2-mean,2-std,3-mean,3-std,4-mean,4-std,5-mean,5-std,6-mean,6-std,7-mean,7-std,8-mean,8-std,9-mean,9-std,10-mean,10-std,11-mean,11-std,Genero
00At7PWydsvg7g5xgaYan9,0.4003624818471724,0.6122423599578819,0.7781026329904047,0.6558839884499942,0.31376850668342543,0.46763510357013943,0.2970500343164194,0.546583021542669,0.303938045883223,0.5741582287357363,0.2469244676753735,0.4066408832476874,0.30852727548369463,0.5465398402892507,0.21224151037465683,0.34301067991662937,0.4333644905926663,0.5952349783911619,0.29916391043616447,0.6388665695213586,0.3433028115799978,0.6376873107156006,0.4185509351484282,0.7558412989065835,drum-and-bass
00BgcUYkIImsDN5rNjkR1U,0.26735043065505515,0.5083918771593637,0.557852290806826,0.759642784801885,0.1504776336290936,0.3031997491969666,0.16380285718464704,0.41225151591920345,0.3113031537673559,0.6815542885684633,0.20962406656053592,0.5265957589674426,0.4186415496664516,0.7646143051178447,0.2923444656315068,0.6197803604122862,0.5877778798549103,0.7927331515603308,0.43469342668835625,0.8515644433746825,0.3488669210434803,0.5722125819241854,0.28326928936973667,0.7082589102755406,drum-and-bass
00WgnFIsY1y84p7mYAJRuF,0.571598085187377,0.7432039167845531,0.382564509404645,0.6254797219931759,0.44034895777577177,0.6863235387007303,0.5580955312818345,0.7843460653204004,0.3819982212861453,0.6328844322530793,0.3644830955328139,0.6498681820750765,0.40225995687050375,0.7223416047776356,0.6343817530336755,0.7871402039746426,0.4447977220955471,0.7451666776154982,0.32481040866285454,0.6959761974542898,0.46250643069810615,0.6296916668742407,0.2883647261480916,0.5539774875352035,drum-and-bass
00isAURAZeKQXv6CW2vckb,0.3964602904459348,0.6419900719082227,0.5525247060273896,0.732485162183995,0.2592739409281579,0.47249290287749074,0.4038506419086672,0.7899679168692052,0.21498186536621391,0.44204807250365186,0.36107597086233956,0.7271773301901351,0.272717064454646,0.6053309536701121,0.2652086609492668,0.5439006750954558,0.4225353991406564,0.7049986291372735,0.19924786783868226,0.4581870709098619,0.3805517425088004,0.6823847613875241,0.17048349750067962,0.3796580126069944,classical
00ne3qRgc0JqY6MNYfhWri,0.1559219377563852,0.4595704065294148,0.25841697114353446,0.6463042110183768,0.07356024089198607,0.1550775510045887,0.29847402929828215,0.6482909760841575,0.13932645223716028,0.4641371500936208,0.1749322026802111,0.6119909148647451,0.12743365348768343,0.4791615941740006,0.08884573132859186,0.1934822047623385,0.8471257284898264,0.8489810569524596,0.062226462044832336,0.12234023741888406,0.11720104217821278,0.4139770509174341,0.16386176744117795,0.6120490705647942,classical
00z9Rax2KTHqKLKYnGHzNk,0.4500776575051604,0.7265940831180394,0.5561106224929636,0.6912018435932294,0.2168332836647919,0.39031788655734845,0.32051253655212303,0.5313125992877991,0.5865998199062115,0.7564612084156506,0.438466941989207,0.6375993497858935,0.6759954321027889,0.7570308698846487,0.44880884425626116,0.7734048200151415,0.4646246706832021,0.7557644493820369,0.38017923097324596,0.7781541904114423,0.4739131545632902,0.7424375316114582,0.16083792918235978,0.37368920160037156,ambient
012Pabfp9nvUBj9NaS2tSj,0.02187522924794351,0.10083418852027208,0.2920068950723384,0.8298210706887028,0.01325749968592629,0.0624961320672653,0.08714527055118831,0.33631111334457403,0.5239372295396164,0.9639203404098,0.11021891280977028,0.33296035574430755,0.2581846739267266,0.7184055555111333,0.05926684485748167,0.14084761348785407,0.1897885556975124,0.6261744563302186,0.19885334384908396,0.7175554725090221,0.009204919993731686,0.06164134732748561,0.2563506314120422,0.7916404314499228,world-music
01K7WtcFrsolt07wYU8zTY,0.37596668538679756,0.6123858682453668,0.3264453391966357,0.49178657010345117,0.6127374139851698,0.8071191717535019,0.1528627654046948,0.24607871264984404,0.2450466612947007,0.27364712963236,0.6896385867308359,0.8559575864372803,0.1620885559037287,0.22369734506120043,0.10822557011180133,0.20905467685618903,0.19162618901258477,0.3314395809168163,0.4944969486434378,0.7348847572122521,0.38191071666612697,0.5380832684023737,0.19955638956637514,0.2776127746756236,ambient
01OXa5tVuCssU6j8TY7kxr,0.2953389456426684,0.6750720234725951,0.20972964814554018,0.5720585741545702,0.34403316678236523,0.8422460348308397,0.0915600074697816,0.2872868163120322,0.1354679776927584,0.33761968165494516,0.6252569626481957,0.9707300530316353,0.1550954669990915,0.3221061292645668,0.0897508317228534,0.3516304960947011,0.07629932666205337,0.3210238899419256,0.15335511236238902,0.3980041638851619,0.3278930015227179,0.8754351635708484,0.1686139066615659,0.4984399324742591,ambient
02M2OoPaKPmkCl7kidq6nK,0.36633842115527027,0.6812166294950472,0.3159705242531029,0.6187604973857451,0.35055427193838407,0.6671455607594056,0.2673469818181,0.581177462955427,0.34723043288507177,0.6399818106428328,0.4632547013040347,0.8537843991104194,0.23324138028831518,0.45221482636706234,0.35061472519093784,0.748439887499807,0.2247070536572222,0.47065699844998665,0.2886539576147471,0.6417592865429257,0.3086879525026109,0.6627486861859744,0.2126324612477361,0.45970676283420464,jazz
02TadnJNMcVjr4baY39H1p,0.41358051988983846,0.6354760515855161,0.2757494444311238,0.3867644050300626,0.6122433001679565,0.6608842399237855,0.5876474976287027,0.6247357708289354,0.26375974411729536,0.39155136263649826,0.24890316764097273,0.47221193669134015,0.27858872234263304,0.45227451632899984,0.6814414660040498,0.8075655529428097,0.44376839777975513,0.5824178550004172,0.3000149176443357,0.4732516325041991,0.44254086169483725,0.6208575894071051,0.33996001958568584,0.418311569731578,classical
02Xgw6IdNV1fxbhFFxfnCC,0.4558752742606925,0.7255288173011021,0.44522478141035277,0.6638983182054934,0.62357330734337,0.7526025622928177,0.2403064448260197,0.404061613758373,0.20794327960261136,0.39741533999053985,0.4091091189872481,0.7068381724298398,0.24423803997502672,0.4313269639581269,0.21544025076594056,0.46095832210661336,0.27007636396661394,0.538467357638492,0.2644453435907968,0.512829241711204,0.6289862157318115,0.8942313531169367,0.40077340982726906,0.7228641794588505,ambient
