id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Genero
5i2sgqnzaxYpvXmGAB592h,0.9608431792824355,0.5481220657276996,0.08263924096472805,0.10758909836451432,0.001237424547283702,0.0,0.12441920495611773,0.5859754071119972,1.0,0.04695431472081217,0.4815908031691782,0.75,0.3145412939463283,jazz
4mGzm5ahHxMX5IhVWbU7cl,0.956827095106275,0.4964788732394366,0.08098549045170325,0.03166906879776927,3.8028169014084503e-06,0.36363636363636365,0.08208569953536397,0.46589121524315935,1.0,0.06707759245830312,0.4444497556195552,0.75,0.15851882671104636,jazz
4DEn3hZzSs9MFwFNDla5Y5,0.9929718526917193,0.3955399061032863,0.055235267135028125,0.14965560551231497,0.9134808853118711,0.4545454545454546,0.33402168301497165,0.5245596543702226,0.0,0.0215736040609137,0.30088072561274354,0.5,0.15643852714790932,jazz
5P6vo51dtkBYWXswH1twvK,0.17469470179902297,0.4741784037558686,0.24035352437974297,0.7736421282046917,0.7062374245472837,0.8181818181818182,0.6954052658750647,0.7642184557438794,0.0,0.224075416968818,0.4942997813123648,1.0,0.48720615768670683,jazz
29TZQMVLv25CBm3bYn2EIQ,0.43774821533753394,0.4636150234741784,0.11179796077673967,0.5012114152475063,0.9054325955734406,0.9090909090909092,0.09447599380485287,0.7014512019497063,0.0,0.017222625090645392,0.38133507008759443,0.75,0.605783232785521,jazz
4cUgsvo0xRu0JQXIhxcXkZ,0.8253003383370195,0.6549295774647887,0.05549278546309038,0.5943586810747792,0.8661971830985915,0.7272727272727273,0.09034589571502323,0.7331339315387171,1.0,0.38179840464104425,0.23467095278498112,0.75,0.5891408362804244,jazz
6gkIIBgZx2661g01Nz5Qtr,0.6546167608501995,0.31338028169014087,0.05979012256262927,0.20273953119882535,0.001096579476861167,0.0,0.09034589571502323,0.7059045086961337,0.0,0.029550398839738937,0.9562564978907995,0.75,0.18556272103182858,jazz
2uwWxQaPESir0zpeVcHRvC,0.07760586684034357,0.7558685446009389,0.1448194555096851,0.5132304172897351,0.8863179074446679,0.6363636363636364,0.0975735673722251,0.6744211809017391,0.0,0.019216823785351708,0.25993953227136385,0.75,0.7493239026419805,jazz
57FfMOh9wOQ7IDDK2tmigg,0.7369464864614892,0.5211267605633803,0.1033638331603132,0.3028978815507317,0.00012374245472837023,0.8181818181818182,0.12441920495611773,0.7552232192311952,0.0,0.024111675126903556,0.49383372569639455,0.75,0.5381734969835656,jazz
5P7QtBWllP1CQno3Bi834D,0.7228901918449274,0.49295774647887325,0.167416688797148,0.6544536912859231,0.34708249496981886,0.18181818181818182,0.08724832214765102,0.6060263653483993,0.0,0.036439448875997094,0.5760387662671334,0.75,0.6213854795090493,jazz
6bZf2VcN25Hu7jcLNkc5NC,0.803211875368137,0.12323943661971833,0.05742417292355729,0.12862235193841465,0.0024849094567404423,0.09090909090909091,0.09034589571502323,0.557549573501717,1.0,0.022117476432197247,0.2042219858749298,0.75,0.06615352610775951,jazz
3qQVUOHJdgIFWJd0jrG9GE,0.10943333393641531,0.8004694835680752,0.17469681240594545,0.8828147300882696,0.6881287726358148,1.0,0.0,0.7281045751633987,0.0,0.05529369108049312,0.3049796250044812,0.75,0.9583940087372581,jazz
6dZKWYSx5YBIme4SfpIHJ0,0.8574290117463034,0.6901408450704226,0.0656003798395339,0.39804831438504273,0.3078470824949698,0.7272727272727273,0.056375838926174496,0.7222997673645728,1.0,0.1569978245105149,0.2114338977784681,0.75,0.7129186602870813,jazz
54zMkQWwYLKTAx2qIkl45X,0.9156622323006302,0.17957746478873238,0.1639184632593773,0.30790579906832705,0.9114688128772634,0.4545454545454546,0.12235415591120287,0.7227871939736346,1.0,0.025380710659898484,0.48827690873675017,0.75,0.07270646973164135,jazz
0U070HY5rBmCyh4SIWHrgN,0.9799195791191977,0.45892018779342714,0.1628135486830352,0.024257350871728204,0.9416498993963781,0.0,0.10067114093959731,0.37873047524094383,1.0,0.03807106598984772,0.3878239982791792,0.75,0.046182650301643445,jazz
7JtcCde09fsajDNHmPFrX7,0.9548190530181947,0.6807511737089202,0.12553777069602376,0.24680920535366416,0.8038229376257545,0.6363636363636364,0.0642230252968508,0.6260330120748864,0.0,0.028825235678027555,0.3323574049067291,0.75,0.5870605367172872,jazz
56IF1gMvIEOQeSCWoMT7hx,0.6475886135419187,0.437793427230047,0.1336065441845119,0.1736936095967725,0.003501006036217303,0.4545454545454546,0.233866804336603,0.6166611277279272,0.0,0.13886874546773026,0.2004278151551726,0.75,0.2822966507177034,jazz
3kOW7LYkOXJ9qE05TlKVc3,0.5190739199047835,0.721830985915493,0.04363607831776153,0.6484441902648087,0.8983903420523138,0.6363636363636364,0.2638100154878678,0.8169934640522876,0.0,0.006526468455402466,0.3591974283290112,0.75,0.9375910131058872,jazz
7MrXwqdwwU57JqIOGtTbRe,0.28312897455535574,0.6854460093896713,0.14101019611630172,0.47116391014193443,0.1398390342052314,0.5454545454545454,0.06907589055240063,0.7308962002880248,0.0,0.017585206671501083,0.3226658381233493,0.75,0.580819638027876,jazz
4LInRUJ6XN1TVnoRVAFcdB,0.15059819674206013,0.6713615023474179,0.08745161472039142,0.15566510653342935,0.0015090543259557343,0.09090909090909091,0.1801755291688178,0.5822975517890772,1.0,0.036439448875997094,0.09042076457021303,0.75,0.09090909090909091,jazz
7IPEQ3ScOp9cAd3dC7JvDn,0.6275081926611162,0.505868544600939,0.11036551507689338,0.6754869448598234,4.7384305835010055e-06,0.4545454545454546,0.10583376355188436,0.7432812673091835,1.0,0.0755982596084119,0.5308373465900262,0.75,0.7264406074474724,jazz
