id;nombre;marca;presentacion;nombre_1;nombre_2;nombre_3;Clasificaci�n
7,79E+12;Acondicionador Balance Sedal 340 Ml;SEDAL;340.0 ml;Acondicionador;Acondicionador   Balance;Acondicionador   Balance   Sedal;Perfumería e higiene personal
7,79E+12;Acondicionador Ceramidas Sedal 340 Ml;SEDAL;400.0 ml;Acondicionador;Acondicionador   Ceramidas;Acondicionador   Ceramidas   Sedal;Perfumería e higiene personal
7,79E+12;Acondicionador Restauracion Instantanea Sedal 340 Ml;SEDAL;340.0 ml;Acondicionador;Acondicionador   Restauracion;Acondicionador   Restauracion   Instantanea;Perfumería e higiene personal
7,79E+12;Shampoo Ceramidas Sedal 650 Ml;SEDAL;650.0 ml;Shampoo;Shampoo   Ceramidas;Shampoo   Ceramidas   Sedal;Perfumería e higiene personal
7,79E+12;Shampoo Balance Sedal 650 Ml;SEDAL;650.0 ml;Shampoo;Shampoo   Balance;Shampoo   Balance   Sedal;Perfumería e higiene personal
7,79E+12;Acondicionador Balance Sedal 650 Ml;SEDAL;650.0 ml;Acondicionador;Acondicionador   Balance;Acondicionador   Balance   Sedal;Perfumería e higiene personal
7,79E+12;Acondicionador Ceramidas Sedal 650 Ml;SEDAL;650.0 ml;Acondicionador;Acondicionador   Ceramidas;Acondicionador   Ceramidas   Sedal;Perfumería e higiene personal
7,79E+12;Jabon de Tocador Sensible Fresh Rexona Pack 3 125 Gr;REXONA;3.0 un;Jabon;Jabon   de;Jabon   de   Tocador;Perfumería e higiene personal
7,79E+12;Jabon de Tocador Acqua Bamboo Fresh Rexona Pack 3 125 Gr;REXONA;3.0 un;Jabon;Jabon   de;Jabon   de   Tocador;Perfumería e higiene personal
7,79E+12;Jabon de Tocador Cotton Fresh Rexona Pack 3 125 Gr;REXONA;3.0 un;Jabon;Jabon   de;Jabon   de   Tocador;Perfumería e higiene personal
7,79E+12;Jabon de Tocador Nat Orchid Fresh Rexona Pack 3 125 Gr;REXONA;3.0 un;Jabon;Jabon   de;Jabon   de   Tocador;Perfumería e higiene personal
7,79E+12;Desodorante Bodyspray en Aerosol Axe Black Night 150 Ml;AXE;150.0 ml;Desodorante;Desodorante   Bodyspray;Desodorante   Bodyspray   en;Perfumería e higiene personal
7,79E+12;Acondicionador Blindaje Platinum Tresemme 400 Ml;TRESEMM�;400.0 ml;Acondicionador;Acondicionador   Blindaje;Acondicionador   Blindaje   Platinum;Perfumería e higiene personal
7,79E+12;Acondicionador Sedal Bomba de Nutricion 340 Ml;SEDAL;340.0 ml;Acondicionador;Acondicionador   Sedal;Acondicionador   Sedal   Bomba;Perfumería e higiene personal
7,79E+12;Queso Crema Untable Casancrem Clasico 500 Gr;CASANCREM;500.0 gr;Queso;Queso   Crema;Queso   Crema   Untable;Lácteos y derivados
7,79E+12;Queso Crema Untable Casancrem Light 500 Gr;CASANCREM;500.0 gr;Queso;Queso   Crema;Queso   Crema   Untable;Lácteos y derivados
7,79E+12;Queso Crema Untable Casancrem Light 300 Gr;CASANCREM;300.0 gr;Queso;Queso   Crema;Queso   Crema   Untable;Lácteos y derivados
7,79E+12;Flan Vainilla con Caramelo Danette en Pack 2 Un 190 Gr;DANETTE;190.0 gr;Flan;Flan   Vainilla;Flan   Vainilla   con;Almacen no incluidos en otra categoría
7,79E+12;Yogur Vainilla Danonino Pack 2 Un 161 Gr;DANONINO;161.0 gr;Yogur;Yogur   Vainilla;Yogur   Vainilla   Danonino;Lácteos y derivados
